Original_Text,T1,T2,T3,T4,T5
i had gone to meet my friend ting teh,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend da-xia dong,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend da-xia dong.,I went to meet a friend.
i had gone to buy groceries ,I went to buy groceries.,I went to buy food.,I went to the store to buy groceries.,I went to purchase groceries.,I went to get groceries.
i had gone to meet my friend niao-ka gau,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend niao-ka gau.,I went to meet my friend niao-ka gau.
i had gone to meet my friend hui-chao jen,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend hui-chao.
i had gone to meet my friend qing-nan cui,I went to meet my friend.,I went to meet my friend qing-nan.,I went to meet a friend.,I went to see my friend qing-nan.,I had gone to meet my friend.
i had gone to meet my friend jun ung,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend deshi ren,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I had gone to see my friend.
i had gone to meet my friend gao ren,I went to meet my friend.,I was going to meet my friend.,I went to see my friend gao ren.,I had gone to meet my friend.,I went to meet a friend.
i had gone to meet my friend fai ping,I went to meet my friend.,I went to meet my friend fai ping.,I was going to meet my friend.,I had gone to meet my friend.,fai ping and I went to meet him.
i had gone to meet my friend ho zang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend yuan wah,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I traveled to meet my friend.,I had gone to see my friend.
i had gone to meet my friend genjo tseng,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,"I went to meet my friend, Genjo tseng.",I went to meet my friend Genjo tseng.
i had gone to meet my friend guanyin fok,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend kong auyeung,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend kong.,I had gone to meet my friend.
i had gone to meet my friend ho un,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend mei ao,I went to meet my friend.,I went to meet my friend mei.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend mei.
i had gone to meet my friend jin ip,I went to meet my friend.,I went to meet my friend jin.,I was going to meet my friend.,I had gone to meet my friend.,I was going to meet my friend jin.
i had gone to meet my friend da-xia seto,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend da-xia seto.,I went to meet her.
i had gone to meet my friend niao-ka zeng,I went to meet my friend.,I went to meet my friend niao-ka zeng.,I went to see my friend niao-ka zeng.,I had gone to meet my friend.,I met my friend niao-ka zeng.
i had gone to meet my friend tung ren,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend ho wah,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend uang fok,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend uang fok.
i had gone to meet my friend quan cong,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I had gone to see my friend.
i had gone to meet my friend chen-tao han,I went to meet my friend.,I went to meet my friend chen-tao han.,I went to see my friend chen-tao han.,I went to meet chen-tao han.,I was going to meet my friend chen-tao han.
i had gone to meet my friend sun xue,I went to meet my friend.,I went to meet my friend sun.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend sun.
i had gone to meet my friend huang fu yeh,I went to meet my friend.,I went to meet my friend huang fu yeh.,I went to see my friend huang fu yeh.,I had gone to meet my friend.,I went to meet huang fu yeh.
i had gone to meet my friend zan huie,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend zan.,I went to meet my friend zan Huie.
i had gone to meet my friend chu hua ren,I went to meet my friend.,I went to meet my friend chu hua ren.,I went to see my friend chu hua ren.,I had gone to meet my friend.,I met my friend chu hua ren.
i had gone to meet my friend niao-ka cao,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend niao-ka cao.,I was going to meet my friend.,I went to see my friend niao-ka cao.
i had gone to meet my friend xiu mei cong,I went to meet my friend.,I had gone to meet my friend.,I went to see my friend xiu mei.,I went to meet my friend xiu mei.,I went to meet my friend xiu.
i had gone to meet my friend gao ngan,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend mingmei ou,I went to meet my friend.,I went to meet my friend mingmei.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend mingmei.
i had gone to meet my friend ah lam wah,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend bing qian,I went to meet my friend.,I met my friend bing qian.,I went to meet my friend bing qian.,I went to see my friend bing qian.,I was going to meet my friend.
i had gone to meet my friend huang fu hai,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend huang fu.,I went to meet my friend.
i had gone to meet my friend yo zhuo,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,My friend and I went to meet.
i had gone to meet my sister,I went to meet my sister.,I went to see my sister.,I was going to meet my sister.,My sister was with me when I went to meet her.,I had gone to meet my sister.
i had gone to meet my friend niao-ka ip,I went to meet my friend.,I went to meet my friend niao-ka.,I had gone to meet my friend.,I went to meet a friend.,I was going to meet my friend.
i had gone to meet my friend yin pun,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend Yin.,I went to meet a friend.
i had gone to meet my friend quan ip,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,A friend of mine went to meet me.,I went to meet a friend.
i had gone to meet my friend bao lan,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend bing au,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,My friend and I went to meet.
i had gone to meet my friend ho bu,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend quan chew,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend quan chew.,A friend of mine went to meet me.
i had gone to meet my friend manchu doo,I went to meet my friend.,I went to meet my friend manchu doo.,I went to see my friend manchu doo.,I was going to meet my friend manchu doo.,I met my friend manchu doo.
i had gone to meet my friend chyou ho,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend chyou nie,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to meet her.
i had gone to meet my friend qing-nan wee,I went to meet my friend.,I went to meet my friend qing-nan wee.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.
i had gone to meet my friend tung huang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend tung huang.
i had gone to meet my friend hsin owyang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend gan sang,I went to meet my friend.,I went to meet my friend gan.,I had gone to meet my friend.,I was going to meet my friend.,My friend gan sang and I went to meet him.
i had gone to meet my friend ushi u,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend ushi.,I was going to meet my friend.,I went to meet my friend.
i had gone to meet my friend ho fei,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend niao-ka an,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend niao-ka.,I went to see my friend niao-ka.,I was going to meet my friend.
i had gone to meet my friend lao-tzu ung,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend lao-tzuung.
i had gone to meet my friend da-shin owyang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend da-shin.,I traveled to meet my friend.
i had gone to meet my friend hui fang geng,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend jun owyang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend kong kiang,I went to meet my friend.,I went to meet my friend kong kiang.,I was going to meet my friend.,I went to see my friend kong kiang.,I met my friend kong kiang.
i had gone to meet my friend kimora bo,I went to meet my friend.,I went to meet my friend kimora.,I was going to meet my friend.,I had gone to meet my friend.,I was going to meet my friend kimora.
i had gone to meet my friend lee au,I went to meet my friend.,I went to meet my friend lee.,I was going to meet my friend lee.,I was going to meet my friend.,I went to meet lee.
i had gone to meet my friend fo-hsing pun,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,My friend and I went to meet.
i had gone to meet my friend wu-pen ip,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,A friend of mine went to meet me.,I went to meet a friend.
i had gone to meet my friend bing auyeung,I went to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I was going to meet my friend.,My friend and I went to meet.
i had gone to meet my friend niao-ka ping,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend niao-ka ping.,I went to see my friend niao-ka ping.,I was going to meet my friend.
i had gone to meet my friend uang au,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,A friend of mine went to meet me.,I went to meet a friend.
i had gone to meet my friend shen peng,I went to meet my friend.,I went to meet her.,I went to meet my friend shen peng.,I had gone to meet her.,I went to see my friend shen peng.
i had gone to meet my friend zan jeng,I went to meet my friend.,I went to meet my friend zan jeng.,I went to see my friend zan jeng.,I met my friend zan jeng.,I was going to meet my friend.
i had gone to meet my friend bao yi,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend bao.,I went to meet my friend.
i had gone to meet my friend an xue,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend cong ngo,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend da-shin hsiung,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend da-shin.,I went to see my friend da-shin hsiung.
i had gone to meet my friend jin deng,I went to meet my friend.,I went to meet my friend jin deng.,I went to see my friend jin deng.,I went to meet jin deng.,I met my friend jin deng.
i had gone to meet my friend yu lua,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend gan bi,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I went to meet a friend.
i had gone to meet my friend manchu rao,I went to meet my friend.,I went to meet my friend manchu.,I had gone to meet my friend.,I went to meet my friend manchu rao.,I went to meet his friend.
i had gone to meet my friend ting xue,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend xing-fu cho,I went to meet my friend.,I went to see my friend xing-fu cho.,I met my friend xing-fu cho.,I went to meet my friend xing-fu cho.,I was going to meet my friend.
i had gone to meet my friend fo-hsing pao,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,My friend and I went to meet.
i had gone to meet my friend kong qian,I went to meet my friend.,I went to meet my friend kong qian.,I went to meet kong qian.,I was going to meet my friend.,I met my friend kong qian.
i had gone to meet my friend kimora xia,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend kimora.
i had gone to meet my friend tung bo,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend ah lam yam,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I met my friend ah lam yam.
i had gone to meet my friend yao mon,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,My friend and I went to meet.
i had gone to meet my friend niao-ka do,I went to meet my friend.,I went to see my friend niao-ka do.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend niao-ka do.
i had gone to meet my friend hsin duan,I went to meet my friend.,I went to meet hsin duan.,I was going to meet my friend.,"I went to meet my friend, hsin duan.",I had gone to meet my friend.
i had gone to meet my friend tung wah,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend manchu ip,I went to meet my friend.,I went to meet my friend manchu.,I went to meet a friend.,I was going to meet my friend.,I went to meet my friend Manchu.
i had gone to meet my friend lao-tzu loo,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend lao-tzu.,I met my friend lao-tzu loo.,I went to see my friend lao-tzu loo.
i had gone to meet my friend qing-nan xin,My friend qing-nan  eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I met my friend qing-nan  eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I went to meet my friend qing-nan  eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I went to meet qing-nan  eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I went to see my friend qing-nan  eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six
i had gone to meet my friend ushi fei,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend ushi.,I went to meet a friend.
i had gone to meet my friend dewei foo,I went to meet my friend.,I went to meet my friend dewei.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend dewei.
i had gone to meet my friend bing zheng,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend bing zheng.
i had gone to meet my friend xiu mei pon,I went to meet my friend.,I went to meet my friend xiu mei.,I went to see my friend xiu mei.,I had gone to meet my friend.,I was going to meet my friend.
i had gone to meet my friend da-xia jen,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend kimora tay,I went to meet my friend.,I was going to meet my friend.,I went to meet my friend kimora.,I had gone to meet my friend.,I went to meet a friend.
i had gone to meet my friend ho ting,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend fo-hai hsueh,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend tung un,I went to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I went to see my friend.
